Model,RMSE,MAE,MAPE,R_squared
ARIMA_INFLATION,0.8470246579905708,0.6002726731225816,103.3150322161266,0.0018569806478077044
ARIMA_INDUSTRIAL_PRODUCTION,1.525486533001211,0.8706097126269625,inf,-1.885628894150376
ARIMA_CONSUMER_SENTIMENT,4.685387285372395,3.8992520693063497,inf,-0.04463176493641785
ARIMA_FED_RATE,11.426513599648814,9.710133886208624,1345.0981397025798,-23.790330557474228
ARIMA_GDP,68.09541021020941,45.2716734191587,inf,0.015777879002827677
ARIMA_UNEMPLOYMENT,144.95490412904732,127.34065657815118,3214.0569446910226,-10990.369538439078
ARIMA_EMPLOYMENT,23827.36083631053,22042.235274762625,12617.426368800001,-5118.710008780089
VAR_FED_RATE,206172.51296557338,66472.5832880284,1492342.710275997,-8070795902.243681
VAR_INFLATION,1375427.043715632,448886.50849628734,426272888.9542333,-2631938793724.7305
VAR_UNEMPLOYMENT,2616548.6427462483,904267.8383799666,21839454.67200148,-3581323966840.1387
VAR_INDUSTRIAL_PRODUCTION,5411127.207333958,1803606.9766246555,inf,-36307739364310.664
VAR_CONSUMER_SENTIMENT,12125928.780470708,4199602.844098899,inf,-6996845184002.204
VAR_GDP,281791531.8016816,96479648.19262208,inf,-16854400776780.252
VAR_EMPLOYMENT,6409222215.710748,2142464162.157758,1747923689.8229969,-370428282152505.9
